url,domain,platform,niche,country,source,tranco_rank,majestic_rank,status,http_status,has_products,product_count,product_types,tags,is_headless,detected_payments,ecom_signal_count,min_price,max_price,monthly_visits,merchant_name
https://jenis.com,jenis.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3348542,Jeni's Splendid Ice Creams
https://travelpro.com,travelpro.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3336733,Travelpro
https://nzxt.com,nzxt.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3320877,NZXT
https://store.figma.com,store.figma.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3305408,The Figma Store
https://www.fieldandstream.com,www.fieldandstream.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3295345,Field & Stream
https://mipod.com,mipod.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3266702,Pod
https://www.sprayground.com,www.sprayground.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3266379,SPRAYGROUND®
https://www.nyandcompany.com,www.nyandcompany.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3244196,www.nyandcompany.com
https://www.skullcandy.com,www.skullcandy.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3243741,Skullcandy
https://www.rarebeauty.com,www.rarebeauty.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3213378,Rare Beauty
https://www.plantingtree.com,www.plantingtree.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3176804,PlantingTree
https://whitefoxboutique.com,whitefoxboutique.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3129072,White Fox Boutique USA
https://www.arhaus.com,www.arhaus.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3102212,Arhaus
https://www.whitehousehistory.org,www.whitehousehistory.org,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3077431,White House Historical Association
https://juicycouture.com,juicycouture.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3073738,Juicy Couture
https://www.wyze.com,www.wyze.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3068437,"Wyze Labs, Inc."
https://www.fast-growing-trees.com,www.fast-growing-trees.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3055941,FastGrowingTrees.com
https://rue21.com,rue21.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3034884,Rue21 – rue21
https://www.dollskill.com,www.dollskill.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3016732,Dolls Kill
https://amiri.com,amiri.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3013352,AMIRI
