domain,status,platform,has_products,product_count,ecom_signals,has_payment,source
adirondackfragrance.com,active_ecommerce,shopify,True,,3,True,huggingface
adoredbeast.ca,active_ecommerce,shopify,True,,3,True,huggingface
adorekart.org,active_ecommerce,shopify,True,,3,True,huggingface
adrenalinepaintballairsoft.com,active_ecommerce,shopify,True,,3,True,huggingface
adspet.com.au,active_ecommerce,shopify,True,,3,True,huggingface
advicefromacaterpillar.ca,active_ecommerce,shopify,True,,3,True,huggingface
advikaclothing.com,active_ecommerce,shopify,True,,3,True,huggingface
advproduct.com,active_ecommerce,shopify,True,,3,True,huggingface
advwin.com.au,active_ecommerce,shopify,True,,3,True,huggingface
advwin.us,active_ecommerce,shopify,True,,3,True,huggingface
adwatmisr.com,active_ecommerce,shopify,True,,3,True,huggingface
aeratron.io,active_ecommerce,shopify,True,,3,True,huggingface
aeroair.com.au,active_ecommerce,shopify,True,,3,True,huggingface
aeromats.com,active_ecommerce,shopify,True,,3,True,huggingface
aeron.com,active_ecommerce,shopify,True,,3,True,huggingface
aerosoftstudio.com,active_ecommerce,shopify,True,,3,True,huggingface
aerosoles.com,active_ecommerce,shopify,True,,3,True,huggingface
aerospheremonitoring.com,active_ecommerce,shopify,True,,3,True,huggingface
aeschmidtbilliards.com,active_ecommerce,shopify,True,,3,True,huggingface
aetwa.com.au,active_ecommerce,shopify,True,,3,True,huggingface
afarmchickscloset.com,active_ecommerce,shopify,True,,3,True,huggingface
afcollector.com,active_ecommerce,shopify,True,,3,True,huggingface
affirmats.com,active_ecommerce,shopify,True,,3,True,huggingface
affordableled.com,active_ecommerce,shopify,True,,3,True,huggingface
affordablepetcenterinc.com,active_ecommerce,shopify,True,,3,True,huggingface
afreedomjourney.com,active_ecommerce,shopify,True,,3,True,huggingface
aftershockpc.com,active_ecommerce,shopify,True,,3,True,huggingface
agapenutrition.com,active_ecommerce,shopify,True,,3,True,huggingface
agear.co.za,active_ecommerce,shopify,True,,3,True,huggingface
agesthreeandup.ca,active_ecommerce,shopify,True,,3,True,huggingface
agradi.fr,active_ecommerce,shopify,True,,3,True,huggingface
agradi.nl,active_ecommerce,shopify,True,,3,True,huggingface
agri-route.com,active_ecommerce,shopify,True,,3,True,huggingface
agricameras.com,active_ecommerce,shopify,True,,3,True,huggingface
agricarecorp.com,active_ecommerce,shopify,True,,3,True,huggingface
agricultureunboxedshop.com,active_ecommerce,shopify,True,,3,True,huggingface
agriessentials.co.uk,active_ecommerce,shopify,True,,3,True,huggingface
agrifeeder.com,active_ecommerce,shopify,True,,3,True,huggingface
agriframes.co.uk,active_ecommerce,shopify,True,,3,True,huggingface
agriplexindia.com,active_ecommerce,shopify,True,,3,True,huggingface
agsupplies.com,active_ecommerce,shopify,True,,3,True,huggingface
agtouchscreens.com,active_ecommerce,shopify,True,,3,True,huggingface
aguante.in,active_ecommerce,shopify,True,,3,True,huggingface
agustina.store,active_ecommerce,shopify,True,,3,True,huggingface
ahmediashop.com,active_ecommerce,shopify,True,,3,True,huggingface
ahuriripharmacy.co.nz,active_ecommerce,shopify,True,,3,True,huggingface
aiitle.com,active_ecommerce,shopify,True,,3,True,huggingface
