domain,status,platform,has_products,product_count,ecom_signals,has_payment,source
amadou.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amalfishirts.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amandatest.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amani.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amarachocolates.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amazin.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amazing.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amazo.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amazona.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amazonarthur.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amazonas.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amazone.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amazonia.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amazons.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amazons1.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amazora.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ambatchdotcom-seocontest.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ambatchdotcom.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ambatchdotcomseocontest.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amber.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ambiencebyali.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ambient.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ambientlight.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ambiond.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ambitear.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amdiscount.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ame4r.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amech.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amen.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
americannomads.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amerishoppingmall.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amerview.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amielstest.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amiko.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amine.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amino.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amishprints.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amjoe.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
