domain,status,platform,has_products,product_count,ecom_signals,has_payment
petmoniker.com,active,,False,0,0,False
belgicastore.com,active,,False,0,0,False
healthplus.vn,active,,False,0,0,False
kidscorner.fun,active,,False,0,0,False
healthytoys.org,active_ecommerce,,True,0,2,False
viewhomes.ca,active,,False,0,0,False
prodealcenter.fr,active,,False,0,0,False
m16tool.xyz,active,,False,0,0,False
menoutlet.it,active,,False,0,0,False
lombatoolx.com,dead,,False,0,0,False
cosmetic-ingredients.org,active,,False,0,0,False
thehungergames.movie,active,,False,0,0,False
lovesexshop.cz,active,,False,0,0,False
pinard-de-picard.de,active,,False,0,0,False
phcare.com.ph,active,,False,0,0,False
themusicalsafari.com,active,,False,0,0,False
fttech.ru,timeout,,False,0,0,False
startlegroup.com,active,,False,0,0,False
aspet.org,active,,False,0,0,False
bikephilosophy.es,http_403,,False,0,0,False
onedegreeorganics.com,active,,False,0,0,False
learnfrommarketleaders.click,active,,False,0,0,False
omegafood.com.au,active,,False,0,0,False
dvmparts.by,http_403,,False,0,0,False
competitivecracker.com,active_ecommerce,,True,0,2,False
ubuy.uz,http_403,,False,0,0,False
liberty-tech.online,active,,False,0,0,False
csgtech.in,active,,False,0,0,False
campus-party.com.br,active,,False,0,0,False
bikehow.com,active,,False,0,0,False
mcnayart.org,http_202,,False,0,0,False
catholicshop.com,active_ecommerce,shopify,True,3,5,False
shopin.net,active,,False,0,0,False
carooline.com,active,,False,0,0,False
weibook.co,active,,False,0,0,False
atlantabotanicalgarden.org,active,,False,0,0,False
allmytech.pk,active_ecommerce,woocommerce,True,0,1,False
dpfoods.in,active,,False,0,0,False
healthintergrity.com,dead,,False,0,0,False
versicherung-auto-monatlich-tarifcheck.de,active,,False,0,0,False
forklift-hire-buyerzone.co.uk,http_403,,False,0,0,False
health.go.ke,timeout,,False,0,0,False
triquetrahealth.com,active_ecommerce,shopify,True,3,5,False
greaterclevelandfoodbank.org,dead,,False,0,0,False
goodelectronics.org,active,,False,0,0,False
technoapk.com,active,,False,0,0,False
astronomy.tools,active,,False,0,0,False
maifood.tw,active,,False,0,0,False
homehr.ir,timeout,,False,0,0,False
tankmuseumshop.org,active_ecommerce,shopify,True,3,5,False
doublegunshop.com,active,,False,0,0,False
sportstrade.io,active,,False,0,0,False
hostingdart.com,active,,False,0,0,False
wqybook.net.cn,dead,,False,0,0,False
healthfinder.gov,active,,False,0,0,False
citycarshare.org,http_404,,False,0,0,False
cosmostoreegypt.com,active_ecommerce,woocommerce,True,0,5,False
healthystreaming.com,active,,False,0,0,False
sapphirefoods.in,http_202,,False,0,0,False
ruach-music.com,active_ecommerce,woocommerce,True,0,1,False
seatingchartmaker.app,active,,False,0,0,False
fish-road-game.co.uk,active,,False,0,0,False
repacar.org,active,,False,0,0,False
varta.energy,active,,False,0,0,False
rohome.net,dead,,False,0,0,False
brighamhealthhub.org,dead,,False,0,0,False
cciarts.org,active,,False,0,0,False
topetmou.gr,active,,False,0,0,False
markethype.io,dead,,False,0,0,False
home-start.org.uk,active,,False,0,0,True
worldkids.net,active,,False,0,0,False
dobynsandmartin.com,dead,,False,0,0,False
actool.jp,active_ecommerce,shopify,True,3,5,False
barocsshop.com,active,,False,0,0,False
coocare.com,active,,False,0,0,False
petiteboudoir.gr,active_ecommerce,,True,0,9,False
artistscloud.net,active,,False,0,0,False
primecarers.co.uk,active,,False,0,0,False
petachok.ru,active,,False,0,0,False
recargamarcas.com,active,,False,0,0,False
autodywanik.pl,active,,False,0,0,False
pharmacy-walmart.org,dead,,False,0,0,False
jimarket.co.ke,timeout,,False,0,0,False
flowers-zoi.kz,active,,False,0,0,False
shopraha.site,active,,False,0,0,False
arthermitage.org,active,,False,0,0,False
petra-dario.info,dead,,False,0,0,False
anixart.tv,active,,False,0,0,False
techpro.cc,active,,False,0,0,False
carzonrent.com,active,,False,0,0,False
musicatm.com,active,,False,0,0,False
carteltotox33.com,dead,,False,0,0,False
novocare.com.br,active,,False,0,0,False
travelbar.tools,http_404,,False,0,0,False
sparkassen-kreditkarten.de,active,,False,0,0,False
startrekfreedom.com,timeout,,False,0,0,False
novartis.ro,active,,False,0,0,False
inspiringjewel.com,active,,False,0,0,False
articservers.es,active,,False,0,0,False
ymshop.com.cn,http_404,,False,0,0,False
echometerapp.com,active,,False,0,0,False
venusmusic.ir,timeout,,False,0,0,False
techtribune.net,active,,False,0,0,False
rungismarket.com,active,,False,0,0,False
58wine.net,dead,,False,0,0,False
porsche-stuttgart-flughafen.de,dead,,False,0,0,False
homemadeinterracialsex.net,active,,False,0,0,False
footprintwms.com,active,,False,0,0,False
galacticarmory.net,active_ecommerce,shopify,True,3,5,False
blockblast-game.io,active,,False,0,0,False
invisibletech.ai,active,,False,0,0,False
nimbledeals.com,dead,,False,0,0,False
smallhold-hosting-6.nl,active,,False,0,0,False
makecar.com.ua,active,,False,0,0,False
mprtools.com,active_ecommerce,shopify,True,3,5,False
kvartalas.lt,active,,False,0,0,False
campsmart.net.au,active,,False,0,0,True
greencard.by,active,,False,0,0,False
inspiringtech.in,timeout,,False,0,0,False
imagicahealth.live,active,,False,0,0,False
kidsinmuseums.org.uk,active,,False,0,0,False
mariocarts.org,active,,False,0,0,False
benefitcosmetics.co.uk,dead,,False,0,0,False
ubuy.lv,http_403,,False,0,0,False
fispalfoodservice.com.br,active,,False,0,0,False
leehughesdecorating.cyou,active,,False,0,0,False
smartbtn.ru,active,,False,0,0,False
smart-school.com.ua,active,,False,0,0,False
repetitor.org.ua,active,,False,0,0,False
sv2marketing.com,active,,False,0,0,False
shophoatuoidep.net,active,,False,0,0,False
blacktownmarkets.com.au,active_ecommerce,,True,0,2,False
ttshop.ru,dead,,False,0,0,False
gogoprint.co.th,active,,False,0,0,False
printexpert.my,active,,False,0,0,False
health4989.com,http_406,,False,0,0,False
cdn-adtech.com,dead,,False,0,0,False
forceauto.com.ua,active,,False,0,1,False
iconictoolshub.com,active,,False,0,0,False
nelsonearthday.net,active,,False,0,0,False
musicfm.xyz,dead,,False,0,0,False
tapetatrend.hu,active_ecommerce,,True,0,2,False
conservingcarolina.org,active,,False,0,0,False
designbestoutlet.com,active_ecommerce,woocommerce,True,0,3,False
robertsmarketplace.net,active_ecommerce,,True,0,6,True
kettakihome.com,active,,False,0,0,False
partner-alphaintent.com,dead,,False,0,0,False
razormarkets.co.za,http_520,,False,0,0,False
copycarpenter.com,http_404,,False,0,0,False
carlana.net,active,,False,0,0,False
ileadgame.net,dead,,False,0,0,False
lmpartnership.org,active,,False,0,0,False
carellofficial.com,http_403,,False,0,0,False
leasemart.cn,dead,,False,0,0,False
stcwoodcrafters.com,http_402,,False,0,0,False
autodoc.parts,http_403,,False,0,0,False
vip-fengniaoesports.xyz,active,,False,0,0,False
palliativecare.org.au,active_ecommerce,woocommerce,True,0,5,False
cartoonmuseum.org,active_ecommerce,,True,0,5,False
maxapptool.online,active,,False,0,0,False
ukrainian-food.org,http_202,,False,0,0,False
quickbookstoolhub.net,active,,False,0,0,False
todocartoes.com.br,timeout,,False,0,0,False
cnouyi.pizza,dead,,False,0,0,False
khorostech.com,active,,False,0,0,False
k-startupgc.org,dead,,False,0,0,False
ampdealermktg.com,dead,,False,0,0,False
castores.com.mx,active,,False,0,0,False
techtoro.io,active_ecommerce,,True,0,2,False
leafhomeenhancements.com,active,,False,0,0,False
globaltech.org,dead,,False,0,0,False
switchtechnology.pt,active,,False,0,0,False
jpttools.com,active_ecommerce,shopify,True,3,5,False
mandarin-print.ru,active,,False,0,0,False
nctbbook.com,active,,False,0,0,False
byfurniture.by,active,,False,0,0,False
earthone.io,active,,False,0,0,False
booktoki469.com,active,,False,0,0,False
artisticarubens.com.ar,active,,False,0,0,False
teatrumanoel.com.mt,active,,False,0,0,False
careyourhrtsoftware.com,active,,False,0,0,False
nordicexpatshop.com,active_ecommerce,magento,True,0,5,True
autotrack.rs,active,,False,0,0,False
ricareer.jp,active,,False,0,0,False
tartugi.uno,http_403,,False,0,0,False
endorphina.tools,timeout,,False,0,0,False
herculeshealth.co.nz,active,,False,0,0,False
spinwatch.org,active,,False,0,0,False
perfecthome.co.uk,http_403,,False,0,0,False
theenglishhome.co.uk,active,,False,0,0,False
carcgl.com,dead,,False,0,0,False
bikegremlin.com,active,,False,0,0,False
kartografija.hr,active,,False,0,0,False
allianzpartners-providerplatform.com,dead,,False,0,0,False
ushopbi.com,active,,False,0,0,False
operacarolina.org,active,,False,0,0,False
onlinevaluepurchase.shop,active,,False,0,0,False
optimizetech.com,active_ecommerce,bigcommerce,True,0,1,False
gigcxmarketplace.com,active,,False,0,0,False
base2basebookkeeping.co.uk,active,,False,0,0,False
pascualmarti.es,active,,False,0,0,False
musicgooddeal.com,active_ecommerce,prestashop,True,0,1,False
gamer.lk,active,,False,0,0,False
360playshop.co.uk,active,,False,0,1,False
regalcardplay.com,active,,False,0,0,False
homeflow.co.uk,active,,False,0,0,False
freebeer.org,active,,False,0,0,False
silverprint.co.uk,timeout,,False,0,0,False
clevekids.org,dead,,False,0,0,False
derpycards.ca,active_ecommerce,shopify,True,3,5,False
secretnaturecbd.net,active,,False,0,0,False
hypostore.com,http_403,,False,0,0,False
optical.toys,active,,False,0,0,False
informedhealth.org,dead,,False,0,0,False
autoline24.rs,active,,False,0,0,False
dalauto.ro,active,,False,0,0,False
wnscaresfoundation.org,active,,False,0,0,False
jmrhousetohome.ie,active_ecommerce,shopify,True,3,5,False
startupvalencia.org,active,,False,0,0,False
carrollgardenclub.org,active,,False,0,0,False
alvanmarket.com,timeout,,False,0,0,False
kennisbanksportenbewegen.nl,dead,,False,0,0,False
getpartiful.com,active,,False,0,0,False
sartojelius.com,active,,False,0,0,False
bolracecard.com,active,,False,0,0,False
homearab.net,active,,False,0,0,False
instore.kz,active,,False,0,0,False
posterstore.de,active,,False,0,0,False
testautomationtools.dev,active,,False,0,0,False
liteprint.me,active,,False,0,0,False
sockshop.co.uk,active,,False,0,0,False
sportbiz.com.ua,active_ecommerce,,True,0,2,False
romancemusical.net,active,,False,0,0,False
desertcart.ie,active,,False,0,0,False
ilcamerinoshop.com,active_ecommerce,shopify,True,3,5,False
supermart.ng,active_ecommerce,shopify,True,3,5,False
carboncapturecoalition.org,active,,False,0,0,False
fintechasia.net,active,,False,0,0,False
orfeo-toolbox.org,active,,False,0,0,False
telephoneworld.org,active,,False,0,0,False
corepetitus.lt,active,,False,0,0,False
tor-parts.ru,active,,False,0,0,False
licencedeals.com,active_ecommerce,shopify,True,3,5,False
lynasfoodservice.com,active,,False,0,1,False
ictmusic.org,active,,False,0,0,False
home-learn.com,active,,False,0,0,False
vantechdns.net,active,,False,0,0,False
carminahobbys.com,active,,False,0,0,False
techtalks.tv,active,,False,0,0,False
