nohup: ignoring input
2026-04-02 21:50:42,851 [INFO] Loaded 48,454 domains from output/remaining_ecom_filtered.csv
2026-04-02 21:50:42,851 [INFO] To process: 48,454
2026-04-02 21:50:42,851 [INFO] Workers: 15, Chunk size: 500
2026-04-03 02:14:36,872 [INFO] Chunk 54/97 | Processed: 27,000 | Active: 11,657 | E-commerce: 1,602 (5.9%) | Rate: 2/s | ETA: 3.5h
2026-04-03 02:20:58,858 [INFO] Chunk 55/97 | Processed: 27,500 | Active: 11,761 | E-commerce: 1,614 (5.9%) | Rate: 2/s | ETA: 3.4h
2026-04-03 02:27:49,269 [INFO] Chunk 56/97 | Processed: 28,000 | Active: 11,786 | E-commerce: 1,617 (5.8%) | Rate: 2/s | ETA: 3.4h
2026-04-03 02:34:45,836 [INFO] Chunk 57/97 | Processed: 28,500 | Active: 11,796 | E-commerce: 1,619 (5.7%) | Rate: 2/s | ETA: 3.3h
2026-04-03 02:41:37,495 [INFO] Chunk 58/97 | Processed: 29,000 | Active: 11,815 | E-commerce: 1,621 (5.6%) | Rate: 2/s | ETA: 3.3h
2026-04-03 02:47:48,755 [INFO] Chunk 59/97 | Processed: 29,500 | Active: 11,916 | E-commerce: 1,633 (5.5%) | Rate: 2/s | ETA: 3.2h
2026-04-03 02:54:43,181 [INFO] Chunk 60/97 | Processed: 30,000 | Active: 11,938 | E-commerce: 1,635 (5.5%) | Rate: 2/s | ETA: 3.1h
2026-04-03 03:01:21,171 [INFO] Chunk 61/97 | Processed: 30,500 | Active: 11,980 | E-commerce: 1,642 (5.4%) | Rate: 2/s | ETA: 3.0h
2026-04-03 03:07:52,866 [INFO] Chunk 62/97 | Processed: 31,000 | Active: 12,022 | E-commerce: 1,648 (5.3%) | Rate: 2/s | ETA: 3.0h
2026-04-03 03:14:29,830 [INFO] Chunk 63/97 | Processed: 31,500 | Active: 12,077 | E-commerce: 1,656 (5.3%) | Rate: 2/s | ETA: 2.9h
2026-04-03 03:21:35,585 [INFO] Chunk 64/97 | Processed: 32,000 | Active: 12,077 | E-commerce: 1,656 (5.2%) | Rate: 2/s | ETA: 2.8h
2026-04-03 03:28:11,315 [INFO] Chunk 65/97 | Processed: 32,500 | Active: 12,109 | E-commerce: 1,658 (5.1%) | Rate: 2/s | ETA: 2.8h
2026-04-03 03:34:44,691 [INFO] Chunk 66/97 | Processed: 33,000 | Active: 12,178 | E-commerce: 1,663 (5.0%) | Rate: 2/s | ETA: 2.7h
2026-04-03 03:39:31,271 [INFO] Chunk 67/97 | Processed: 33,500 | Active: 12,474 | E-commerce: 1,716 (5.1%) | Rate: 2/s | ETA: 2.6h
2026-04-03 03:46:13,178 [INFO] Chunk 68/97 | Processed: 34,000 | Active: 12,509 | E-commerce: 1,719 (5.1%) | Rate: 2/s | ETA: 2.5h
2026-04-03 03:52:14,872 [INFO] Chunk 69/97 | Processed: 34,500 | Active: 12,645 | E-commerce: 1,740 (5.0%) | Rate: 2/s | ETA: 2.4h
2026-04-03 03:58:50,795 [INFO] Chunk 70/97 | Processed: 35,000 | Active: 12,688 | E-commerce: 1,746 (5.0%) | Rate: 2/s | ETA: 2.4h
2026-04-03 04:04:48,625 [INFO] Chunk 71/97 | Processed: 35,500 | Active: 12,823 | E-commerce: 1,765 (5.0%) | Rate: 2/s | ETA: 2.3h
2026-04-03 04:09:49,760 [INFO] Chunk 72/97 | Processed: 36,000 | Active: 13,047 | E-commerce: 1,797 (5.0%) | Rate: 2/s | ETA: 2.2h
2026-04-03 04:14:51,355 [INFO] Chunk 73/97 | Processed: 36,500 | Active: 13,309 | E-commerce: 1,831 (5.0%) | Rate: 2/s | ETA: 2.1h
2026-04-03 04:19:51,676 [INFO] Chunk 74/97 | Processed: 37,000 | Active: 13,553 | E-commerce: 1,867 (5.0%) | Rate: 2/s | ETA: 2.0h
2026-04-03 04:25:36,870 [INFO] Chunk 75/97 | Processed: 37,500 | Active: 13,716 | E-commerce: 1,892 (5.0%) | Rate: 2/s | ETA: 1.9h
2026-04-03 04:30:33,875 [INFO] Chunk 76/97 | Processed: 38,000 | Active: 13,949 | E-commerce: 1,927 (5.1%) | Rate: 2/s | ETA: 1.8h
2026-04-03 04:33:56,442 [INFO] Chunk 77/97 | Processed: 38,500 | Active: 14,305 | E-commerce: 1,976 (5.1%) | Rate: 2/s | ETA: 1.7h
2026-04-03 04:37:07,650 [INFO] Chunk 78/97 | Processed: 39,000 | Active: 14,680 | E-commerce: 2,024 (5.2%) | Rate: 2/s | ETA: 1.6h
2026-04-03 04:39:57,914 [INFO] Chunk 79/97 | Processed: 39,500 | Active: 15,032 | E-commerce: 2,075 (5.3%) | Rate: 2/s | ETA: 1.5h
2026-04-03 04:43:02,713 [INFO] Chunk 80/97 | Processed: 40,000 | Active: 15,413 | E-commerce: 2,144 (5.4%) | Rate: 2/s | ETA: 1.5h
2026-04-03 04:46:04,554 [INFO] Chunk 81/97 | Processed: 40,500 | Active: 15,771 | E-commerce: 2,196 (5.4%) | Rate: 2/s | ETA: 1.4h
2026-04-03 04:48:58,882 [INFO] Chunk 82/97 | Processed: 41,000 | Active: 16,134 | E-commerce: 2,258 (5.5%) | Rate: 2/s | ETA: 1.3h
2026-04-03 04:51:56,915 [INFO] Chunk 83/97 | Processed: 41,500 | Active: 16,501 | E-commerce: 2,301 (5.5%) | Rate: 2/s | ETA: 1.2h
2026-04-03 04:54:51,915 [INFO] Chunk 84/97 | Processed: 42,000 | Active: 16,836 | E-commerce: 2,355 (5.6%) | Rate: 2/s | ETA: 1.1h
2026-04-03 04:57:41,218 [INFO] Chunk 85/97 | Processed: 42,500 | Active: 17,206 | E-commerce: 2,402 (5.7%) | Rate: 2/s | ETA: 1.0h
2026-04-03 05:00:30,071 [INFO] Chunk 86/97 | Processed: 43,000 | Active: 17,571 | E-commerce: 2,455 (5.7%) | Rate: 2/s | ETA: 0.9h
2026-04-03 05:03:33,307 [INFO] Chunk 87/97 | Processed: 43,500 | Active: 17,913 | E-commerce: 2,498 (5.7%) | Rate: 2/s | ETA: 0.8h
2026-04-03 05:06:43,913 [INFO] Chunk 88/97 | Processed: 44,000 | Active: 18,273 | E-commerce: 2,546 (5.8%) | Rate: 2/s | ETA: 0.7h
2026-04-03 05:09:54,123 [INFO] Chunk 89/97 | Processed: 44,500 | Active: 18,614 | E-commerce: 2,588 (5.8%) | Rate: 2/s | ETA: 0.7h
2026-04-03 05:12:45,998 [INFO] Chunk 90/97 | Processed: 45,000 | Active: 18,973 | E-commerce: 2,636 (5.9%) | Rate: 2/s | ETA: 0.6h
2026-04-03 05:15:45,915 [INFO] Chunk 91/97 | Processed: 45,500 | Active: 19,327 | E-commerce: 2,693 (5.9%) | Rate: 2/s | ETA: 0.5h
2026-04-03 05:18:28,931 [INFO] Chunk 92/97 | Processed: 46,000 | Active: 19,689 | E-commerce: 2,756 (6.0%) | Rate: 2/s | ETA: 0.4h
2026-04-03 05:21:22,987 [INFO] Chunk 93/97 | Processed: 46,500 | Active: 20,055 | E-commerce: 2,813 (6.0%) | Rate: 2/s | ETA: 0.3h
2026-04-03 05:24:05,474 [INFO] Chunk 94/97 | Processed: 47,000 | Active: 20,425 | E-commerce: 2,870 (6.1%) | Rate: 2/s | ETA: 0.2h
2026-04-03 05:27:04,914 [INFO] Chunk 95/97 | Processed: 47,500 | Active: 20,796 | E-commerce: 2,933 (6.2%) | Rate: 2/s | ETA: 0.2h
2026-04-03 05:30:07,916 [INFO] Chunk 96/97 | Processed: 48,000 | Active: 21,184 | E-commerce: 2,982 (6.2%) | Rate: 2/s | ETA: 0.1h
2026-04-03 05:32:48,979 [INFO] Chunk 97/97 | Processed: 48,454 | Active: 21,508 | E-commerce: 3,026 (6.2%) | Rate: 2/s | ETA: 0.0h
2026-04-03 05:32:48,979 [INFO] DONE in 27726s. Processed: 48,454
2026-04-03 05:32:48,979 [INFO] Active: 21,508 | E-commerce: 3,026
