domain,url,platform,has_products,product_count,ecom_signals,detected_payments,tags,min_price,max_price
shop.jackalopebrew.com,https://shop.jackalopebrew.com,shopify,True,0,1,,,0,0
shop.mamalehs.com,https://shop.mamalehs.com,shopify,True,0,1,,,0,0
shop.swp.de,https://shop.swp.de,shopify,False,0,1,,,0,0
shop.wblm.com,https://shop.wblm.com,shopify,True,0,1,,,0,0
thaicocousa.com,https://thaicocousa.com,shopify,True,0,1,,,0,0
theketoshop.co.uk,https://theketoshop.co.uk,shopify,False,0,1,,,0,0
unbelievabuns.com,https://unbelievabuns.com,shopify,True,0,1,shopify_payments,,0,0
us.pranachai.com,https://us.pranachai.com,shopify,True,0,1,,,0,0
us.thebeautychef.com,https://us.thebeautychef.com,shopify,True,0,1,,,0,0
wholesale.nutricost.com,https://wholesale.nutricost.com,shopify,True,0,1,,,0,0
xprsnutra.com,https://xprsnutra.com,shopify,True,0,1,,,0,0
spiceworks.com,https://spiceworks.com,woocommerce,False,0,1,,,0,0
coffeemanga.ink,https://coffeemanga.ink,woocommerce,False,0,1,,,0,0
planetasport.rs,https://planetasport.rs,magento,True,0,1,,,0,0
shoppinggives.com,https://shoppinggives.com,bigcommerce,False,0,1,,,0,0
one.store,https://one.store,bigcommerce,False,0,1,,,0,0
hamiltonwatch.com,https://hamiltonwatch.com,magento,True,0,1,,,0,0
shopify.io,https://shopify.io,shopify,False,0,1,,,0,0
internetbrands.com,https://internetbrands.com,wix,False,0,1,,,0,0
shopifynetwork.com,https://shopifynetwork.com,shopify,False,0,1,,,0,0
customily.com,https://customily.com,shopify,False,0,1,,,0,0
spoiledchild.com,https://spoiledchild.com,magento,True,0,1,paypal,,0,0
shoparize.com,https://shoparize.com,shopify,False,0,1,,,0,0
